product,volume
5650512,150
5650506,600
5649630,300
5650672,200
5650537,100
5650510,60
5650677,90
5650462,450
5650580,200
5650494,200
5649894,100
5650406,50
5650431,100
5649950,200
5649681,500
5650423,200
5650050,200
5650492,700
5650646,450
5649925,200
5649679,100
5650570,100
5650527,1000
5650479,100
5649965,400
5650772,100
5649823,100
5650529,100
5650743,200
5649935,200
5649836,150
5649842,300
5650486,300
5650578,150
5650408,500
5650546,50
5650449,200
5650500,100
5650560,400
5650659,80
5649919,400
5649611,200
5649847,150
5649607,100
5650704,100
5650542,200
5650465,300
5650445,150
5649921,100
5650496,150
5649662,500
5650640,300
5650777,150
5649855,450
5650457,250
5649963,600
5649849,400
5650656,150
5649815,400
5649908,200
5650518,100
5649585,200
5649838,400
5649897,300
5649845,90
5650535,100
5649646,100
5650724,150
5649653,500
5650726,200
5650548,700
5649890,100
5649859,400
5649648,200
5650706,200
5650057,300
5650568,20
5650470,100
5650048,200
5650558,250
5649870,40
5650544,200
5649903,500
5649878,150
5650453,300
5650692,150
5650516,350
5650670,300
5649565,50
5650514,400
5649910,300
5650785,300
5650475,150
5650489,300
5650752,400
5650783,200
5649701,400
5649625,200
5650760,100
5649929,100
5650592,200
5649659,100
5649857,300
5650455,300
5650562,200
5649677,50
5649711,100
5649931,150
5649900,100
5649927,200
5650746,150
5649851,400
5650644,400
5649697,50
