customers,product,relevancy_score
A10001,5649565,0.293978166
A10001,5649585,0.076184243
A10001,5649607,0.312285156
A10001,5649625,0.113651725
A10001,5649630,0.108480805
A10001,5649646,0.041701586
A10001,5649648,0.238408246
A10001,5649653,0.339357592
A10001,5649659,0.195247328
A10001,5649662,0.098805459
A10001,5649677,0.407017084
A10001,5649679,0.587335639
A10001,5649681,0.062621804
A10001,5649697,0.066205027
A10001,5649701,0.478219064
A10001,5649711,0.266456244
A10001,5649815,0.090449551
A10001,5649836,0.034089022
A10001,5649838,0.367914378
A10001,5649845,0.393170681
A10001,5649847,0.238112401
A10001,5649849,0.27112367
A10001,5649851,0.079449745
A10001,5649855,0.403196582
A10001,5649857,0.326143329
A10001,5649859,0.279774511
A10001,5649870,0.269139688
A10001,5649878,0.412093135
A10001,5649890,0.033388702
A10001,5649894,0.271635686
A10001,5649897,0.187693358
A10001,5649900,0.39136696
A10001,5649903,0.07919757
A10001,5649908,0.069126079
A10001,5649910,0.185383288
A10001,5649919,0.369952276
A10001,5649921,0.084879929
A10001,5649925,0.070897541
A10001,5649927,0.360186428
A10001,5649929,0.059905785
A10001,5649931,0.087418933
A10001,5649950,0.112321891
A10001,5649963,0.063197081
A10001,5649965,0.608652774
A10001,5650048,0.558810395
A10001,5650050,0.356991991
A10001,5650057,0.083214558
A10001,5650408,0.061015576
A10001,5650423,0.082798244
A10001,5650431,0.021312192
A10001,5650445,0.03157803
A10001,5650449,0.116702467
A10001,5650453,0.127121922
A10001,5650455,0.581182403
A10001,5650462,0.575268774
A10001,5650465,0.091009823
A10001,5650475,0.548357995
A10001,5650486,0.419458461
A10001,5650489,0.462134
A10001,5650492,0.119203254
A10001,5650494,0.354215204
A10001,5650496,0.031715241
A10001,5650500,0.032043636
A10001,5650506,0.339128731
A10001,5650510,0.025072515
A10001,5650514,0.113835922
A10001,5650516,0.043752509
A10001,5650518,0.109778973
A10001,5650527,0.146482646
A10001,5650529,0.440344045
A10001,5650535,0.386146834
A10001,5650542,0.400080448
A10001,5650544,0.064959015
A10001,5650548,0.300369229
A10001,5650560,0.374923651
A10001,5650562,0.526961185
A10001,5650568,0.370685178
A10001,5650570,0.448038029
A10001,5650578,0.490412217
A10001,5650640,0.545054764
A10001,5650644,0.443801074
A10001,5650646,0.339772292
A10001,5650656,0.065183969
A10001,5650659,0.142042445
A10001,5650670,0.089428419
A10001,5650672,0.386632214
A10001,5650677,0.52790005
A10001,5650692,0.393445483
A10001,5650704,0.5461014
A10001,5650706,0.522248344
A10001,5650726,0.052559742
A10001,5650743,0.646915508
A10001,5650746,0.05586782
A10001,5650752,0.032190821
A10001,5650760,0.525759346
A10001,5650772,0.5288961
A10001,5650777,0.528356486
A10001,5650783,0.077316985
A10001,5650785,0.535232519
A10002,5649565,0.031787392
A10002,5649585,0.015800148
A10002,5649607,0.449054261
A10002,5649625,0.018701237
A10002,5649630,0.517174396
A10002,5649646,0.013439323
A10002,5649648,0.580287113
A10002,5649653,0.431529153
A10002,5649659,0.056751964
A10002,5649662,0.066135546
A10002,5649677,0.078303953
A10002,5649679,0.141259585
A10002,5649681,0.160819934
A10002,5649697,0.092010517
A10002,5649701,0.231290632
A10002,5649711,0.386976847
A10002,5649815,0.080545798
A10002,5649823,0.027381571
A10002,5649836,0.529211061
A10002,5649838,0.078496883
A10002,5649845,0.508335583
A10002,5649847,0.024651479
A10002,5649849,0.472301435
A10002,5649851,0.303386967
A10002,5649855,0.086721859
A10002,5649857,0.368594535
A10002,5649859,0.482997679
A10002,5649870,0.062379998
A10002,5649878,0.088525785
A10002,5649890,0.068804598
A10002,5649894,0.047245244
A10002,5649897,0.193658682
A10002,5649900,0.073668085
A10002,5649903,0.082638326
A10002,5649908,0.095195082
A10002,5649910,0.060449953
A10002,5649919,0.440742214
A10002,5649921,0.017738852
A10002,5649925,0.099355326
A10002,5649927,0.023254208
A10002,5649929,0.042794839
A10002,5649931,0.181180607
A10002,5649935,0.059863403
A10002,5649950,0.093365805
A10002,5649963,0.576988498
A10002,5649965,0.091067424
A10002,5650048,0.323822072
A10002,5650057,0.147965507
A10002,5650408,0.025016621
A10002,5650423,0.055102269
A10002,5650431,0.037052593
A10002,5650445,0.105777838
A10002,5650449,0.065420101
A10002,5650453,0.187085619
A10002,5650455,0.122621878
A10002,5650457,0.327367919
A10002,5650462,0.086156645
A10002,5650465,0.071924894
A10002,5650470,0.087659191
A10002,5650475,0.612543984
A10002,5650486,0.6429285
A10002,5650489,0.085108958
A10002,5650492,0.358782306
A10002,5650496,0.472728313
A10002,5650500,0.107846073
A10002,5650506,0.056137595
A10002,5650510,0.123165962
A10002,5650512,0.280108806
A10002,5650514,0.132763436
A10002,5650516,0.119437342
A10002,5650518,0.097525984
A10002,5650527,0.180101391
A10002,5650529,0.186610112
A10002,5650535,0.501805118
A10002,5650542,0.447150713
A10002,5650544,0.054378534
A10002,5650548,0.425748383
A10002,5650558,0.4419022
A10002,5650560,0.039932212
A10002,5650562,0.26631182
A10002,5650568,0.889321231
A10002,5650570,0.567664862
A10002,5650578,0.288914849
A10002,5650580,0.621012403
A10002,5650640,0.588302308
A10002,5650644,0.605061687
A10002,5650646,0.186030689
A10002,5650656,0.545341512
A10002,5650659,0.354106819
A10002,5650670,0.104347657
A10002,5650672,0.089820616
A10002,5650677,0.093249878
A10002,5650692,0.618344644
A10002,5650704,0.070613912
A10002,5650706,0.459755938
A10002,5650726,0.33454209
A10002,5650743,0.637826398
A10002,5650746,0.105109298
A10002,5650752,0.103761239
A10002,5650760,0.56948044
A10002,5650772,0.572549261
A10002,5650777,0.093408162
A10002,5650783,0.08581518
A10002,5650785,0.57873772
A10003,5649585,0.012191095
A10003,5649607,0.040420975
A10003,5649630,0.541927766
A10003,5649648,0.202155824
A10003,5649653,0.283165039
A10003,5649659,0.1400089
A10003,5649662,0.062194604
A10003,5649677,0.147782573
A10003,5649679,0.359570146
A10003,5649681,0.078782637
A10003,5649697,0.458762603
A10003,5649701,0.58216128
A10003,5649711,0.300366717
A10003,5649815,0.06129167
A10003,5649836,0.063207909
A10003,5649838,0.407365311
A10003,5649845,0.450509406
A10003,5649847,0.14494422
A10003,5649849,0.315458447
A10003,5649851,0.11724341
A10003,5649855,0.460849216
A10003,5649859,0.324875572
A10003,5649870,0.313293415
A10003,5649878,0.469981376
A10003,5649890,0.293551841
A10003,5649894,0.031540149
A10003,5649897,0.217788586
A10003,5649900,0.139670472
A10003,5649903,0.337682962
A10003,5649908,0.025353147
A10003,5649910,0.114461966
A10003,5649919,0.153749737
A10003,5649921,0.021685153
A10003,5649925,0.157425434
A10003,5649927,0.201190732
A10003,5649929,0.034587781
A10003,5649931,0.17720004
A10003,5649935,0.048472087
A10003,5649950,0.392136165
A10003,5649963,0.480785595
A10003,5649965,0.385682279
A10003,5650048,0.061968789
A10003,5650050,0.242677181
A10003,5650057,0.107380466
A10003,5650408,0.021416369
A10003,5650423,0.074171455
A10003,5650431,0.022974053
A10003,5650445,0.070124385
A10003,5650449,0.06833783
A10003,5650453,0.040129029
A10003,5650455,0.067644283
A10003,5650462,0.033721212
A10003,5650465,0.034315896
A10003,5650470,0.096813839
A10003,5650475,0.065201704
A10003,5650479,0.050217727
A10003,5650486,0.033776711
A10003,5650492,0.095889125
A10003,5650494,0.292135833
A10003,5650496,0.029337354
A10003,5650500,0.351074683
A10003,5650506,0.302367755
A10003,5650510,0.072890008
A10003,5650512,0.369281466
A10003,5650514,0.343318196
A10003,5650516,0.04064057
A10003,5650518,0.049243961
A10003,5650527,0.176647034
